NodeSource,NodeDestination,Frequency,SubCarrier Power dBm,SubCarrier Power dBm Offset,Meas Rx Power dBm,Calc Rx Power dBm,Relative Power
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1350195312.5,-47,-57,-21.82780646246989,-32,22
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1350390625,-48,-58,-21.82780646246989,-32,22
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1350585937.5,-47,-57,-21.82780646246989,-32,22
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1350781250,-47,-57,-21.82780646246989,-32,22
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1350976562.5,-46,-56,-21.82780646246989,-32,22
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1351171875,-46,-56,-21.82780646246989,-32,22
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1351367187.5,-45,-55,-21.82780646246989,-32,22
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1351562500,-45,-55,-21.82780646246989,-32,22
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1351757812.5,-43,-53,-21.82780646246989,-32,22
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1351953125,-42,-52,-21.82780646246989,-32,22
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1352148437.5,-42,-52,-21.82780646246989,-32,22
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1352343750,-38,-48,-21.82780646246989,-32,22
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1352539062.5,-33,-43,-21.82780646246989,-32,22
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1352734375,-28,-38,-21.82780646246989,-32,22
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1352929687.5,-27,-37,-21.82780646246989,-32,22
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1353125000,-26,-36,-21.82780646246989,-32,22
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1353320312.5,-27,-37,-21.82780646246989,-32,22
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1353515625,-26,-36,-21.82780646246989,-32,22
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1353710937.5,-26,-36,-21.82780646246989,-32,22
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1353906250,-27,-37,-21.82780646246989,-32,22
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1354101562.5,-25,-35,-21.82780646246989,-32,22
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1354296875,-25,-35,-21.82780646246989,-32,22
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1354492187.5,-27,-37,-21.82780646246989,-32,22
