NodeSource,NodeDestination,Frequency,Src Profile Power dBm,Src Total Rx Power,Dest Profile Power dBm,Dest Total Rx Power
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1150195312.5,-48,-38,-47,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1150390625,-48,-38,-48,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1150585937.5,-48,-38,-47,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1150781250,-48,-38,-47,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1150976562.5,-48,-38,-47,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1151171875,-48,-38,-47,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1151367187.5,-47,-38,-47,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1151562500,-47,-38,-47,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1151757812.5,-46,-38,-45,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1151953125,-45,-38,-45,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1152148437.5,-45,-38,-44,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1152343750,-42,-38,-41,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1152539062.5,-37,-38,-36,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1152734375,-32,-38,-31,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1152929687.5,-31,-38,-30,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1153125000,-30,-38,-30,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1153320312.5,-31,-38,-30,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1153515625,-30,-38,-29,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1153710937.5,-30,-38,-30,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1153906250,-31,-38,-30,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1154101562.5,-29,-38,-29,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1154296875,-30,-38,-29,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1154492187.5,-32,-38,-31,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1154687500,-29,-38,-28,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1154882812.5,-30,-38,-29,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1155078125,-30,-38,-30,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1155273437.5,-29,-38,-29,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1155468750,-30,-38,-30,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1155664062.5,-30,-38,-30,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1155859375,-32,-38,-32,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1156054687.5,-31,-38,-31,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1156250000,-30,-38,-29,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1156445312.5,-30,-38,-29,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1156640625,-30,-38,-30,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1156835937.5,-30,-38,-29,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1157031250,-30,-38,-29,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1157226562.5,-31,-38,-30,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1157421875,-30,-38,-29,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1157617187.5,-29,-38,-29,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1157812500,-29,-38,-28,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1158007812.5,-29,-38,-29,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1158203125,-30,-38,-30,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1158398437.5,-30,-38,-30,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1158593750,-30,-38,-30,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1158789062.5,-28,-38,-28,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1158984375,-30,-38,-30,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1159179687.5,-28,-38,-28,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1159375000,-29,-38,-29,-39
00:09:8b:02:58:ba,00:09:8b:02:5a:c2,1159570312.5,-30,-38,-30,-39
