NodeSource,NodeDestination,Frequency,SubCarrier Power dBm,SubCarrier Power dBm Offset,Meas Rx Power dBm,Calc Rx Power dBm,Relative Power
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1250195312.5,-48,-52,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1250390625,-48,-52,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1250585937.5,-48,-52,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1250781250,-47,-51,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1250976562.5,-47,-51,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1251171875,-46,-50,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1251367187.5,-46,-50,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1251562500,-45,-49,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1251757812.5,-43,-47,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1251953125,-42,-46,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1252148437.5,-42,-46,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1252343750,-37,-41,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1252539062.5,-33,-37,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1252734375,-27,-31,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1252929687.5,-27,-31,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1253125000,-26,-30,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1253320312.5,-27,-31,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1253515625,-27,-31,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1253710937.5,-27,-31,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1253906250,-28,-32,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1254101562.5,-27,-31,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1254296875,-27,-31,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1254492187.5,-29,-33,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1254687500,-27,-31,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1254882812.5,-28,-32,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1255078125,-29,-33,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1255273437.5,-28,-32,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1255468750,-29,-33,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1255664062.5,-29,-33,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1255859375,-31,-35,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1256054687.5,-30,-34,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1256250000,-29,-33,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1256445312.5,-29,-33,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1256640625,-29,-33,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1256835937.5,-29,-33,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1257031250,-29,-33,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1257226562.5,-30,-34,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1257421875,-28,-32,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1257617187.5,-28,-32,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1257812500,-27,-31,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1258007812.5,-27,-31,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1258203125,-28,-32,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1258398437.5,-28,-32,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1258593750,-28,-32,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1258789062.5,-26,-30,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1258984375,-28,-32,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1259179687.5,-25,-29,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1259375000,-27,-31,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1259570312.5,-27,-31,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1259765625,-26,-30,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1259960937.5,-24,-28,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1260156250,-26,-30,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1260351562.5,-26,-30,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1260546875,-25,-29,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1260742187.5,-26,-30,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1260937500,-25,-29,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1261132812.5,-25,-29,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1261328125,-26,-30,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1261523437.5,-24,-28,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1261718750,-24,-28,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1261914062.5,-24,-28,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1262109375,-23,-27,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1262304687.5,-25,-29,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1262500000,-25,-29,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1262695312.5,-25,-29,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1262890625,-24,-28,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1263085937.5,-24,-28,-22.332660064463692,-27,26
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1263281250,-24,-28,-22.332660064463692,-27,26
