NodeSource,NodeDestination,Frequency,SubCarrier Power dBm,SubCarrier Power dBm Offset,Meas Rx Power dBm,Calc Rx Power dBm,Relative Power,SubCarrier Power dBmV,SubCarrier Power dBmV Offset,Meas Rx Power dBmV,Calc Rx Power dBmV
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1150195312.5,-47,-48,-24,-22,23,1.750612633917001,0.750612633917001,24.750612633917,26.67751911836296
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1150390625,-48,-49,-24,-22,23,0.750612633917001,-0.24938736608299905,24.750612633917,26.67751911836296
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1150585937.5,-47,-48,-24,-22,23,1.750612633917001,0.750612633917001,24.750612633917,26.67751911836296
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1150781250,-47,-48,-24,-22,23,1.750612633917001,0.750612633917001,24.750612633917,26.67751911836296
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1150976562.5,-47,-48,-24,-22,23,1.750612633917001,0.750612633917001,24.750612633917,26.67751911836296
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1151171875,-47,-48,-24,-22,23,1.750612633917001,0.750612633917001,24.750612633917,26.67751911836296
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1151367187.5,-46,-47,-24,-22,23,2.750612633917001,1.750612633917001,24.750612633917,26.67751911836296
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1151562500,-46,-47,-24,-22,23,2.750612633917001,1.750612633917001,24.750612633917,26.67751911836296
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1151757812.5,-45,-46,-24,-22,23,3.750612633917001,2.750612633917001,24.750612633917,26.67751911836296
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1151953125,-44,-45,-24,-22,23,4.750612633917001,3.750612633917001,24.750612633917,26.67751911836296
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1152148437.5,-44,-45,-24,-22,23,4.750612633917001,3.750612633917001,24.750612633917,26.67751911836296
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1152343750,-40,-41,-24,-22,23,8.750612633917001,7.750612633917001,24.750612633917,26.67751911836296
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1152539062.5,-35,-36,-24,-22,23,13.750612633917001,12.750612633917001,24.750612633917,26.67751911836296
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1152734375,-30,-31,-24,-22,23,18.750612633917,17.750612633917,24.750612633917,26.67751911836296
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1152929687.5,-29,-30,-24,-22,23,19.750612633917,18.750612633917,24.750612633917,26.67751911836296
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1153125000,-29,-30,-24,-22,23,19.750612633917,18.750612633917,24.750612633917,26.67751911836296
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1153320312.5,-29,-30,-24,-22,23,19.750612633917,18.750612633917,24.750612633917,26.67751911836296
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1153515625,-28,-29,-24,-22,23,20.750612633917,19.750612633917,24.750612633917,26.67751911836296
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1153710937.5,-29,-30,-24,-22,23,19.750612633917,18.750612633917,24.750612633917,26.67751911836296
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1153906250,-29,-30,-24,-22,23,19.750612633917,18.750612633917,24.750612633917,26.67751911836296
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1154101562.5,-27,-28,-24,-22,23,21.750612633917,20.750612633917,24.750612633917,26.67751911836296
