NodeSource,NodeDestination,Frequency,SubCarrier Power dBm,SubCarrier Power dBm Offset,Meas Rx Power dBm,Calc Rx Power dBm,Relative Power
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1200195312.5,-48,-55,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1200390625,-47,-54,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1200585937.5,-48,-55,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1200781250,-47,-54,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1200976562.5,-47,-54,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1201171875,-47,-54,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1201367187.5,-46,-53,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1201562500,-46,-53,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1201757812.5,-45,-52,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1201953125,-44,-51,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1202148437.5,-42,-49,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1202343750,-41,-48,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1202539062.5,-35,-42,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1202734375,-30,-37,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1202929687.5,-30,-37,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1203125000,-28,-35,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1203320312.5,-30,-37,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1203515625,-28,-35,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1203710937.5,-29,-36,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1203906250,-29,-36,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1204101562.5,-28,-35,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1204296875,-29,-36,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1204492187.5,-31,-38,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1204687500,-27,-34,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1204882812.5,-28,-35,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1205078125,-28,-35,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1205273437.5,-28,-35,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1205468750,-28,-35,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1205664062.5,-28,-35,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1205859375,-30,-37,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1206054687.5,-30,-37,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1206250000,-28,-35,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1206445312.5,-28,-35,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1206640625,-28,-35,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1206835937.5,-28,-35,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1207031250,-28,-35,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1207226562.5,-28,-35,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1207421875,-28,-35,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1207617187.5,-27,-34,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1207812500,-27,-34,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1208007812.5,-27,-34,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1208203125,-28,-35,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1208398437.5,-28,-35,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1208593750,-28,-35,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1208789062.5,-26,-33,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1208984375,-28,-35,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1209179687.5,-26,-33,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1209375000,-27,-34,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1209570312.5,-29,-36,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1209765625,-27,-34,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1209960937.5,-26,-33,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1210156250,-28,-35,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1210351562.5,-27,-34,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1210546875,-27,-34,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1210742187.5,-28,-35,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1210937500,-27,-34,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1211132812.5,-28,-35,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1211328125,-28,-35,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1211523437.5,-27,-34,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1211718750,-27,-34,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1211914062.5,-27,-34,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1212109375,-27,-34,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1212304687.5,-28,-35,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1212500000,-29,-36,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1212695312.5,-29,-36,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1212890625,-27,-34,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1213085937.5,-29,-36,-22.237104820784882,-30,25
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1213281250,-28,-35,-22.237104820784882,-30,25
