NodeSource,NodeDestination,Frequency,SubCarrier Power dBm,SubCarrier Power dBm Offset,Meas Rx Power dBm,Calc Rx Power dBm,Relative Power,SubCarrier Power dBmV,SubCarrier Power dBmV Offset,Meas Rx Power dBmV,Calc Rx Power dBmV
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1150195312.5,-47,-68,-44,-22,11,1.750612633917001,-19.249387366083,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1150390625,-48,-69,-44,-22,11,0.750612633917001,-20.249387366083,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1150585937.5,-47,-68,-44,-22,11,1.750612633917001,-19.249387366083,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1150781250,-47,-68,-44,-22,11,1.750612633917001,-19.249387366083,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1150976562.5,-48,-69,-44,-22,11,0.750612633917001,-20.249387366083,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1151171875,-47,-68,-44,-22,11,1.750612633917001,-19.249387366083,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1151367187.5,-47,-68,-44,-22,11,1.750612633917001,-19.249387366083,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1151562500,-47,-68,-44,-22,11,1.750612633917001,-19.249387366083,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1151757812.5,-46,-67,-44,-22,11,2.750612633917001,-18.249387366083,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1151953125,-45,-66,-44,-22,11,3.750612633917001,-17.249387366083,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1152148437.5,-46,-67,-44,-22,11,2.750612633917001,-18.249387366083,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1152343750,-42,-63,-44,-22,11,6.750612633917001,-14.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1152539062.5,-37,-58,-44,-22,11,11.750612633917001,-9.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1152734375,-33,-54,-44,-22,11,15.750612633917001,-5.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1152929687.5,-32,-53,-44,-22,11,16.750612633917,-4.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1153125000,-31,-52,-44,-22,11,17.750612633917,-3.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1153320312.5,-32,-53,-44,-22,11,16.750612633917,-4.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1153515625,-31,-52,-44,-22,11,17.750612633917,-3.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1153710937.5,-31,-52,-44,-22,11,17.750612633917,-3.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1153906250,-31,-52,-44,-22,11,17.750612633917,-3.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1154101562.5,-30,-51,-44,-22,11,18.750612633917,-2.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1154296875,-30,-51,-44,-22,11,18.750612633917,-2.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1154492187.5,-32,-53,-44,-22,11,16.750612633917,-4.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1154687500,-29,-50,-44,-22,11,19.750612633917,-1.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1154882812.5,-30,-51,-44,-22,11,18.750612633917,-2.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1155078125,-29,-50,-44,-22,11,19.750612633917,-1.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1155273437.5,-29,-50,-44,-22,11,19.750612633917,-1.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1155468750,-29,-50,-44,-22,11,19.750612633917,-1.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1155664062.5,-29,-50,-44,-22,11,19.750612633917,-1.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1155859375,-31,-52,-44,-22,11,17.750612633917,-3.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1156054687.5,-30,-51,-44,-22,11,18.750612633917,-2.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1156250000,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1156445312.5,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1156640625,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1156835937.5,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1157031250,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1157226562.5,-29,-50,-44,-22,11,19.750612633917,-1.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1157421875,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1157617187.5,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1157812500,-27,-48,-44,-22,11,21.750612633917,0.750612633917001,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1158007812.5,-27,-48,-44,-22,11,21.750612633917,0.750612633917001,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1158203125,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1158398437.5,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1158593750,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1158789062.5,-26,-47,-44,-22,11,22.750612633917,1.750612633917001,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1158984375,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1159179687.5,-26,-47,-44,-22,11,22.750612633917,1.750612633917001,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1159375000,-27,-48,-44,-22,11,21.750612633917,0.750612633917001,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1159570312.5,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1159765625,-27,-48,-44,-22,11,21.750612633917,0.750612633917001,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1159960937.5,-25,-46,-44,-22,11,23.750612633917,2.750612633917001,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1160156250,-27,-48,-44,-22,11,21.750612633917,0.750612633917001,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1160351562.5,-27,-48,-44,-22,11,21.750612633917,0.750612633917001,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1160546875,-27,-48,-44,-22,11,21.750612633917,0.750612633917001,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1160742187.5,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1160937500,-27,-48,-44,-22,11,21.750612633917,0.750612633917001,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1161132812.5,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1161328125,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1161523437.5,-26,-47,-44,-22,11,22.750612633917,1.750612633917001,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1161718750,-27,-48,-44,-22,11,21.750612633917,0.750612633917001,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1161914062.5,-27,-48,-44,-22,11,21.750612633917,0.750612633917001,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1162109375,-26,-47,-44,-22,11,22.750612633917,1.750612633917001,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1162304687.5,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1162500000,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1162695312.5,-29,-50,-44,-22,11,19.750612633917,-1.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1162890625,-27,-48,-44,-22,11,21.750612633917,0.750612633917001,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1163085937.5,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1163281250,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1163476562.5,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1163671875,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1163867187.5,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1164062500,-27,-48,-44,-22,11,21.750612633917,0.750612633917001,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1164257812.5,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1164453125,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1164648437.5,-29,-50,-44,-22,11,19.750612633917,-1.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1164843750,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1165039062.5,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1165234375,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1165429687.5,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1165625000,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1165820312.5,-29,-50,-44,-22,11,19.750612633917,-1.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1166015625,-29,-50,-44,-22,11,19.750612633917,-1.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1166210937.5,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1166406250,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1166601562.5,-30,-51,-44,-22,11,18.750612633917,-2.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1166796875,-29,-50,-44,-22,11,19.750612633917,-1.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1166992187.5,-30,-51,-44,-22,11,18.750612633917,-2.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1167187500,-30,-51,-44,-22,11,18.750612633917,-2.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1167382812.5,-29,-50,-44,-22,11,19.750612633917,-1.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1167578125,-29,-50,-44,-22,11,19.750612633917,-1.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1167773437.5,-30,-51,-44,-22,11,18.750612633917,-2.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1167968750,-29,-50,-44,-22,11,19.750612633917,-1.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1168164062.5,-30,-51,-44,-22,11,18.750612633917,-2.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1168359375,-30,-51,-44,-22,11,18.750612633917,-2.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1168554687.5,-30,-51,-44,-22,11,18.750612633917,-2.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1168750000,-31,-52,-44,-22,11,17.750612633917,-3.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1168945312.5,-30,-51,-44,-22,11,18.750612633917,-2.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1169140625,-30,-51,-44,-22,11,18.750612633917,-2.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1169335937.5,-29,-50,-44,-22,11,19.750612633917,-1.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1169531250,-30,-51,-44,-22,11,18.750612633917,-2.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1169726562.5,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1169921875,-29,-50,-44,-22,11,19.750612633917,-1.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1170117187.5,-29,-50,-44,-22,11,19.750612633917,-1.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1170312500,-29,-50,-44,-22,11,19.750612633917,-1.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1170507812.5,-29,-50,-44,-22,11,19.750612633917,-1.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1170703125,-29,-50,-44,-22,11,19.750612633917,-1.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1170898437.5,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1171093750,-27,-48,-44,-22,11,21.750612633917,0.750612633917001,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1171289062.5,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1171484375,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1171679687.5,-29,-50,-44,-22,11,19.750612633917,-1.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1171875000,-30,-51,-44,-22,11,18.750612633917,-2.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1172070312.5,-29,-50,-44,-22,11,19.750612633917,-1.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1172265625,-29,-50,-44,-22,11,19.750612633917,-1.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1172460937.5,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1172656250,-29,-50,-44,-22,11,19.750612633917,-1.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1172851562.5,-29,-50,-44,-22,11,19.750612633917,-1.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1173046875,-29,-50,-44,-22,11,19.750612633917,-1.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1173242187.5,-29,-50,-44,-22,11,19.750612633917,-1.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1173437500,-28,-49,-44,-22,11,20.750612633917,-0.24938736608299905,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1173632812.5,-29,-50,-44,-22,11,19.750612633917,-1.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1173828125,-29,-50,-44,-22,11,19.750612633917,-1.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1174023437.5,-29,-50,-44,-22,11,19.750612633917,-1.249387366082999,4.750612633917001,26.58671645671229
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1174218750,-30,-51,-44,-22,11,18.750612633917,-2.249387366082999,4.750612633917001,26.58671645671229
