NodeSource,NodeDestination,Frequency,SubCarrier Power dBm,SubCarrier Power dBm Offset,Meas Rx Power dBm,Calc Rx Power dBm,Relative Power
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1150195312.5,-50,-54,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1150390625,-49,-53,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1150585937.5,-49,-53,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1150781250,-49,-53,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1150976562.5,-48,-52,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1151171875,-47,-51,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1151367187.5,-47,-51,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1151562500,-47,-51,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1151757812.5,-45,-49,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1151953125,-44,-48,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1152148437.5,-44,-48,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1152343750,-40,-44,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1152539062.5,-35,-39,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1152734375,-29,-33,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1152929687.5,-28,-32,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1153125000,-28,-32,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1153320312.5,-29,-33,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1153515625,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1153710937.5,-28,-32,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1153906250,-28,-32,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1154101562.5,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1154296875,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1154492187.5,-29,-33,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1154687500,-26,-30,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1154882812.5,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1155078125,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1155273437.5,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1155468750,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1155664062.5,-28,-32,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1155859375,-29,-33,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1156054687.5,-29,-33,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1156250000,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1156445312.5,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1156640625,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1156835937.5,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1157031250,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1157226562.5,-28,-32,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1157421875,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1157617187.5,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1157812500,-26,-30,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1158007812.5,-26,-30,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1158203125,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1158398437.5,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1158593750,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1158789062.5,-26,-30,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1158984375,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1159179687.5,-25,-29,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1159375000,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1159570312.5,-28,-32,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1159765625,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1159960937.5,-25,-29,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1160156250,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1160351562.5,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1160546875,-26,-30,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1160742187.5,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1160937500,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1161132812.5,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1161328125,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1161523437.5,-26,-30,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1161718750,-26,-30,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1161914062.5,-26,-30,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1162109375,-26,-30,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1162304687.5,-28,-32,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1162500000,-28,-32,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1162695312.5,-28,-32,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1162890625,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1163085937.5,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1163281250,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1163476562.5,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1163671875,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1163867187.5,-28,-32,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1164062500,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1164257812.5,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1164453125,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1164648437.5,-28,-32,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1164843750,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1165039062.5,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1165234375,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1165429687.5,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1165625000,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1165820312.5,-28,-32,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1166015625,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1166210937.5,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1166406250,-27,-31,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1166601562.5,-28,-32,-23.257453745151818,-28,26
00:09:8b:02:5a:c0,00:09:8b:02:5a:c4,1166796875,-27,-31,-23.257453745151818,-28,26
