NodeSource,NodeDestination,Frequency,Src Profile Power dBm,Src Total Rx Power,Dest Profile Power dBm,Dest Total Rx Power
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1150195312.5,-49,-30,-45,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1150390625,-49,-30,-45,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1150585937.5,-50,-30,-44,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1150781250,-50,-30,-44,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1150976562.5,-50,-30,-44,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1151171875,-50,-30,-42,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1151367187.5,-51,-30,-42,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1151562500,-51,-30,-42,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1151757812.5,-50,-30,-39,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1151953125,-50,-30,-38,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1152148437.5,-51,-30,-39,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1152343750,-50,-30,-34,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1152539062.5,-47,-30,-29,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1152734375,-43,-30,-24,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1152929687.5,-42,-30,-23,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1153125000,-41,-30,-22,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1153320312.5,-42,-30,-23,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1153515625,-40,-30,-22,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1153710937.5,-41,-30,-23,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1153906250,-41,-30,-23,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1154101562.5,-40,-30,-21,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1154296875,-40,-30,-22,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1154492187.5,-42,-30,-24,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1154687500,-39,-30,-21,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1154882812.5,-40,-30,-22,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1155078125,-40,-30,-22,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1155273437.5,-40,-30,-22,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1155468750,-41,-30,-22,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1155664062.5,-40,-30,-23,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1155859375,-42,-30,-25,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1156054687.5,-41,-30,-24,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1156250000,-39,-30,-22,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1156445312.5,-39,-30,-22,-26
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1156640625,-40,-30,-22,-26
