NodeSource,NodeDestination,Frequency,SubCarrier Power dBm,SubCarrier Power dBm Offset,Meas Rx Power dBm,Calc Rx Power dBm,Relative Power,SubCarrier Power dBmV,SubCarrier Power dBmV Offset,Meas Rx Power dBmV,Calc Rx Power dBmV
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1150195312.5,-47,-67,-42,-21,12,1.750612633917001,-18.249387366083,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1150390625,-47,-67,-42,-21,12,1.750612633917001,-18.249387366083,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1150585937.5,-47,-67,-42,-21,12,1.750612633917001,-18.249387366083,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1150781250,-47,-67,-42,-21,12,1.750612633917001,-18.249387366083,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1150976562.5,-47,-67,-42,-21,12,1.750612633917001,-18.249387366083,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1151171875,-46,-66,-42,-21,12,2.750612633917001,-17.249387366083,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1151367187.5,-47,-67,-42,-21,12,1.750612633917001,-18.249387366083,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1151562500,-47,-67,-42,-21,12,1.750612633917001,-18.249387366083,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1151757812.5,-45,-65,-42,-21,12,3.750612633917001,-16.249387366083,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1151953125,-44,-64,-42,-21,12,4.750612633917001,-15.249387366082999,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1152148437.5,-45,-65,-42,-21,12,3.750612633917001,-16.249387366083,6.750612633917001,27.01249137828022
00:09:8b:02:5a:c0,00:09:8b:02:58:ba,1152343750,-41,-61,-42,-21,12,7.750612633917001,-12.249387366082999,6.750612633917001,27.01249137828022
