NodeSource,NodeDestination,Frequency,SubCarrier Power dBm,SubCarrier Power dBm Offset,Meas Rx Power dBm,Calc Rx Power dBm,Relative Power
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1250195312.5,-47,-52,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1250390625,-48,-53,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1250585937.5,-48,-53,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1250781250,-48,-53,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1250976562.5,-47,-52,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1251171875,-47,-52,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1251367187.5,-47,-52,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1251562500,-46,-51,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1251757812.5,-44,-49,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1251953125,-44,-49,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1252148437.5,-44,-49,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1252343750,-40,-45,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1252539062.5,-38,-43,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1252734375,-33,-38,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1252929687.5,-32,-37,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1253125000,-32,-37,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1253320312.5,-32,-37,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1253515625,-29,-34,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1253710937.5,-29,-34,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1253906250,-29,-34,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1254101562.5,-27,-32,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1254296875,-27,-32,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1254492187.5,-29,-34,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1254687500,-27,-32,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1254882812.5,-28,-33,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1255078125,-29,-34,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1255273437.5,-30,-35,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1255468750,-31,-36,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1255664062.5,-32,-37,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1255859375,-33,-38,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1256054687.5,-31,-36,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1256250000,-29,-34,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1256445312.5,-28,-33,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1256640625,-28,-33,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1256835937.5,-28,-33,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1257031250,-27,-32,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1257226562.5,-28,-33,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1257421875,-28,-33,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1257617187.5,-28,-33,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1257812500,-29,-34,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1258007812.5,-30,-35,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1258203125,-31,-36,-22.043510388487977,-28,20
00:09:8b:02:5a:c2,00:09:8b:02:58:ba,1258398437.5,-32,-37,-22.043510388487977,-28,20
