NodeSource,NodeDestination,Frequency,Src Profile Power dBm,Src Total Rx Power,Dest Profile Power dBm,Dest Total Rx Power
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1150195312.5,-47,-44,-47,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1150390625,-47,-44,-47,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1150585937.5,-47,-44,-47,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1150781250,-47,-44,-47,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1150976562.5,-47,-44,-47,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1151171875,-46,-44,-46,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1151367187.5,-47,-44,-46,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1151562500,-46,-44,-45,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1151757812.5,-45,-44,-45,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1151953125,-45,-44,-44,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1152148437.5,-45,-44,-43,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1152343750,-43,-44,-42,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1152539062.5,-44,-44,-43,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1152734375,-40,-44,-39,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1152929687.5,-35,-44,-34,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1153125000,-32,-44,-32,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1153320312.5,-31,-44,-31,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1153515625,-28,-44,-27,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1153710937.5,-28,-44,-27,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1153906250,-28,-44,-27,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1154101562.5,-25,-44,-25,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1154296875,-26,-44,-26,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1154492187.5,-29,-44,-29,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1154687500,-28,-44,-28,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1154882812.5,-31,-44,-31,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1155078125,-35,-44,-35,-44
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1155273437.5,-39,-44,-38,-44
