NodeSource,NodeDestination,Frequency,Src Profile Power dBm,Src Total Rx Power,Dest Profile Power dBm,Dest Total Rx Power
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1150195312.5,-47,-30,-46,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1150390625,-47,-30,-45,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1150585937.5,-47,-30,-45,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1150781250,-46,-30,-45,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1150976562.5,-46,-30,-45,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1151171875,-45,-30,-44,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1151367187.5,-45,-30,-44,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1151562500,-44,-30,-43,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1151757812.5,-42,-30,-43,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1151953125,-42,-30,-41,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1152148437.5,-42,-30,-40,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1152343750,-37,-30,-39,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1152539062.5,-33,-30,-32,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1152734375,-27,-30,-27,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1152929687.5,-26,-30,-27,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1153125000,-26,-30,-25,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1153320312.5,-27,-30,-27,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1153515625,-26,-30,-25,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1153710937.5,-26,-30,-25,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1153906250,-26,-30,-26,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1154101562.5,-25,-30,-25,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1154296875,-25,-30,-25,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1154492187.5,-27,-30,-27,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1154687500,-24,-30,-24,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1154882812.5,-25,-30,-25,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1155078125,-26,-30,-25,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1155273437.5,-25,-30,-25,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1155468750,-26,-30,-26,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1155664062.5,-26,-30,-26,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1155859375,-28,-30,-27,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1156054687.5,-27,-30,-28,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1156250000,-26,-30,-26,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1156445312.5,-26,-30,-26,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1156640625,-27,-30,-27,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1156835937.5,-27,-30,-27,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1157031250,-26,-30,-27,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1157226562.5,-28,-30,-27,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1157421875,-27,-30,-26,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1157617187.5,-27,-30,-26,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1157812500,-26,-30,-26,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1158007812.5,-26,-30,-26,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1158203125,-27,-30,-27,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1158398437.5,-28,-30,-27,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1158593750,-28,-30,-28,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1158789062.5,-26,-30,-26,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1158984375,-28,-30,-28,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1159179687.5,-26,-30,-26,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1159375000,-28,-30,-27,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1159570312.5,-29,-30,-29,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1159765625,-28,-30,-28,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1159960937.5,-26,-30,-26,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1160156250,-28,-30,-28,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1160351562.5,-28,-30,-28,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1160546875,-28,-30,-28,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1160742187.5,-29,-30,-28,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1160937500,-28,-30,-28,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1161132812.5,-28,-30,-28,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1161328125,-28,-30,-28,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1161523437.5,-27,-30,-27,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1161718750,-27,-30,-27,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1161914062.5,-27,-30,-27,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1162109375,-26,-30,-27,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1162304687.5,-28,-30,-28,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1162500000,-28,-30,-28,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1162695312.5,-28,-30,-28,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1162890625,-27,-30,-26,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1163085937.5,-27,-30,-27,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1163281250,-27,-30,-27,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1163476562.5,-27,-30,-26,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1163671875,-26,-30,-26,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1163867187.5,-27,-30,-27,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1164062500,-26,-30,-25,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1164257812.5,-26,-30,-26,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1164453125,-26,-30,-26,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1164648437.5,-27,-30,-27,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1164843750,-26,-30,-26,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1165039062.5,-26,-30,-26,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1165234375,-25,-30,-25,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1165429687.5,-25,-30,-25,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1165625000,-25,-30,-26,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1165820312.5,-26,-30,-26,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1166015625,-26,-30,-26,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1166210937.5,-25,-30,-26,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1166406250,-25,-30,-26,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1166601562.5,-27,-30,-27,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1166796875,-26,-30,-26,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1166992187.5,-26,-30,-26,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1167187500,-26,-30,-26,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1167382812.5,-25,-30,-25,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1167578125,-25,-30,-26,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1167773437.5,-26,-30,-26,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1167968750,-25,-30,-25,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1168164062.5,-26,-30,-25,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1168359375,-26,-30,-26,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1168554687.5,-26,-30,-25,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1168750000,-27,-30,-27,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1168945312.5,-25,-30,-26,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1169140625,-26,-30,-26,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1169335937.5,-24,-30,-25,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1169531250,-26,-30,-26,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1169726562.5,-24,-30,-25,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1169921875,-25,-30,-25,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1170117187.5,-26,-30,-26,-30
00:09:8b:02:58:ba,00:09:8b:02:5a:c0,1170312500,-26,-30,-25,-30
