NodeSource,NodeDestination,Frequency,SubCarrier Power dBm,SubCarrier Power dBm Offset,Meas Rx Power dBm,Calc Rx Power dBm,Relative Power,SubCarrier Power dBmV,SubCarrier Power dBmV Offset,Meas Rx Power dBmV,Calc Rx Power dBmV
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1150195312.5,-46,-48,-25,-22,29,2.750612633917001,0.750612633917001,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1150390625,-47,-49,-25,-22,29,1.750612633917001,-0.24938736608299905,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1150585937.5,-47,-49,-25,-22,29,1.750612633917001,-0.24938736608299905,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1150781250,-47,-49,-25,-22,29,1.750612633917001,-0.24938736608299905,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1150976562.5,-46,-48,-25,-22,29,2.750612633917001,0.750612633917001,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1151171875,-46,-48,-25,-22,29,2.750612633917001,0.750612633917001,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1151367187.5,-45,-47,-25,-22,29,3.750612633917001,1.750612633917001,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1151562500,-44,-46,-25,-22,29,4.750612633917001,2.750612633917001,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1151757812.5,-43,-45,-25,-22,29,5.750612633917001,3.750612633917001,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1151953125,-43,-45,-25,-22,29,5.750612633917001,3.750612633917001,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1152148437.5,-42,-44,-25,-22,29,6.750612633917001,4.750612633917001,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1152343750,-38,-40,-25,-22,29,10.750612633917001,8.750612633917001,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1152539062.5,-34,-36,-25,-22,29,14.750612633917001,12.750612633917001,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1152734375,-28,-30,-25,-22,29,20.750612633917,18.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1152929687.5,-27,-29,-25,-22,29,21.750612633917,19.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1153125000,-27,-29,-25,-22,29,21.750612633917,19.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1153320312.5,-27,-29,-25,-22,29,21.750612633917,19.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1153515625,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1153710937.5,-27,-29,-25,-22,29,21.750612633917,19.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1153906250,-27,-29,-25,-22,29,21.750612633917,19.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1154101562.5,-25,-27,-25,-22,29,23.750612633917,21.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1154296875,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1154492187.5,-27,-29,-25,-22,29,21.750612633917,19.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1154687500,-25,-27,-25,-22,29,23.750612633917,21.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1154882812.5,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1155078125,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1155273437.5,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1155468750,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1155664062.5,-27,-29,-25,-22,29,21.750612633917,19.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1155859375,-29,-31,-25,-22,29,19.750612633917,17.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1156054687.5,-28,-30,-25,-22,29,20.750612633917,18.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1156250000,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1156445312.5,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1156640625,-27,-29,-25,-22,29,21.750612633917,19.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1156835937.5,-27,-29,-25,-22,29,21.750612633917,19.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1157031250,-27,-29,-25,-22,29,21.750612633917,19.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1157226562.5,-28,-30,-25,-22,29,20.750612633917,18.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1157421875,-27,-29,-25,-22,29,21.750612633917,19.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1157617187.5,-27,-29,-25,-22,29,21.750612633917,19.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1157812500,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1158007812.5,-27,-29,-25,-22,29,21.750612633917,19.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1158203125,-28,-30,-25,-22,29,20.750612633917,18.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1158398437.5,-28,-30,-25,-22,29,20.750612633917,18.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1158593750,-28,-30,-25,-22,29,20.750612633917,18.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1158789062.5,-27,-29,-25,-22,29,21.750612633917,19.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1158984375,-28,-30,-25,-22,29,20.750612633917,18.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1159179687.5,-27,-29,-25,-22,29,21.750612633917,19.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1159375000,-28,-30,-25,-22,29,20.750612633917,18.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1159570312.5,-29,-31,-25,-22,29,19.750612633917,17.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1159765625,-28,-30,-25,-22,29,20.750612633917,18.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1159960937.5,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1160156250,-28,-30,-25,-22,29,20.750612633917,18.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1160351562.5,-29,-31,-25,-22,29,19.750612633917,17.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1160546875,-28,-30,-25,-22,29,20.750612633917,18.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1160742187.5,-29,-31,-25,-22,29,19.750612633917,17.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1160937500,-28,-30,-25,-22,29,20.750612633917,18.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1161132812.5,-28,-30,-25,-22,29,20.750612633917,18.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1161328125,-28,-30,-25,-22,29,20.750612633917,18.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1161523437.5,-27,-29,-25,-22,29,21.750612633917,19.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1161718750,-27,-29,-25,-22,29,21.750612633917,19.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1161914062.5,-27,-29,-25,-22,29,21.750612633917,19.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1162109375,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1162304687.5,-28,-30,-25,-22,29,20.750612633917,18.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1162500000,-28,-30,-25,-22,29,20.750612633917,18.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1162695312.5,-28,-30,-25,-22,29,20.750612633917,18.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1162890625,-27,-29,-25,-22,29,21.750612633917,19.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1163085937.5,-27,-29,-25,-22,29,21.750612633917,19.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1163281250,-27,-29,-25,-22,29,21.750612633917,19.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1163476562.5,-27,-29,-25,-22,29,21.750612633917,19.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1163671875,-27,-29,-25,-22,29,21.750612633917,19.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1163867187.5,-27,-29,-25,-22,29,21.750612633917,19.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1164062500,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1164257812.5,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1164453125,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1164648437.5,-27,-29,-25,-22,29,21.750612633917,19.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1164843750,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1165039062.5,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1165234375,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1165429687.5,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1165625000,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1165820312.5,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1166015625,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1166210937.5,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1166406250,-25,-27,-25,-22,29,23.750612633917,21.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1166601562.5,-27,-29,-25,-22,29,21.750612633917,19.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1166796875,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1166992187.5,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1167187500,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1167382812.5,-25,-27,-25,-22,29,23.750612633917,21.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1167578125,-25,-27,-25,-22,29,23.750612633917,21.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1167773437.5,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1167968750,-25,-27,-25,-22,29,23.750612633917,21.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1168164062.5,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1168359375,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1168554687.5,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1168750000,-27,-29,-25,-22,29,21.750612633917,19.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1168945312.5,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1169140625,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1169335937.5,-25,-27,-25,-22,29,23.750612633917,21.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1169531250,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1169726562.5,-25,-27,-25,-22,29,23.750612633917,21.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1169921875,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1170117187.5,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1170312500,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1170507812.5,-27,-29,-25,-22,29,21.750612633917,19.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1170703125,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1170898437.5,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1171093750,-25,-27,-25,-22,29,23.750612633917,21.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1171289062.5,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1171484375,-26,-28,-25,-22,29,22.750612633917,20.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1171679687.5,-27,-29,-25,-22,29,21.750612633917,19.750612633917,23.750612633917,26.06221073054785
00:09:8b:02:58:ba,00:09:8b:02:5a:c4,1171875000,-29,-31,-25,-22,29,19.750612633917,17.750612633917,23.750612633917,26.06221073054785
