NodeSource,NodeDestination,Frequency,SubCarrier Power dBm,SubCarrier Power dBm Offset,Meas Rx Power dBm,Calc Rx Power dBm,Relative Power
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1200195312.5,-47,-61,-20.055902703147964,-35,12
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1200390625,-47,-61,-20.055902703147964,-35,12
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1200585937.5,-47,-61,-20.055902703147964,-35,12
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1200781250,-48,-62,-20.055902703147964,-35,12
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1200976562.5,-48,-62,-20.055902703147964,-35,12
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1201171875,-47,-61,-20.055902703147964,-35,12
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1201367187.5,-48,-62,-20.055902703147964,-35,12
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1201562500,-49,-63,-20.055902703147964,-35,12
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1201757812.5,-47,-61,-20.055902703147964,-35,12
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1201953125,-46,-60,-20.055902703147964,-35,12
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1202148437.5,-48,-62,-20.055902703147964,-35,12
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1202343750,-45,-59,-20.055902703147964,-35,12
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1202539062.5,-41,-55,-20.055902703147964,-35,12
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1202734375,-36,-50,-20.055902703147964,-35,12
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1202929687.5,-35,-49,-20.055902703147964,-35,12
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1203125000,-35,-49,-20.055902703147964,-35,12
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1203320312.5,-35,-49,-20.055902703147964,-35,12
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1203515625,-34,-48,-20.055902703147964,-35,12
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1203710937.5,-35,-49,-20.055902703147964,-35,12
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1203906250,-35,-49,-20.055902703147964,-35,12
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1204101562.5,-33,-47,-20.055902703147964,-35,12
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1204296875,-34,-48,-20.055902703147964,-35,12
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1204492187.5,-36,-50,-20.055902703147964,-35,12
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1204687500,-33,-47,-20.055902703147964,-35,12
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1204882812.5,-34,-48,-20.055902703147964,-35,12
00:09:8b:02:5a:c4,00:09:8b:02:5a:c2,1205078125,-34,-48,-20.055902703147964,-35,12
