NodeSource,NodeDestination,Frequency,SubCarrier Power dBm,SubCarrier Power dBm Offset,Meas Rx Power dBm,Calc Rx Power dBm,Relative Power
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1400195312.5,-47,-49,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1400390625,-46,-48,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1400585937.5,-46,-48,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1400781250,-46,-48,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1400976562.5,-45,-47,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1401171875,-44,-46,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1401367187.5,-44,-46,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1401562500,-43,-45,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1401757812.5,-41,-43,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1401953125,-40,-42,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1402148437.5,-40,-42,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1402343750,-36,-38,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1402539062.5,-31,-33,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1402734375,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1402929687.5,-24,-26,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1403125000,-24,-26,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1403320312.5,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1403515625,-23,-25,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1403710937.5,-24,-26,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1403906250,-24,-26,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1404101562.5,-22,-24,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1404296875,-23,-25,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1404492187.5,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1404687500,-22,-24,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1404882812.5,-23,-25,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1405078125,-23,-25,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1405273437.5,-23,-25,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1405468750,-23,-25,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1405664062.5,-24,-26,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1405859375,-26,-28,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1406054687.5,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1406250000,-23,-25,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1406445312.5,-24,-26,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1406640625,-24,-26,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1406835937.5,-24,-26,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1407031250,-24,-26,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1407226562.5,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1407421875,-24,-26,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1407617187.5,-24,-26,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1407812500,-23,-25,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1408007812.5,-24,-26,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1408203125,-24,-26,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1408398437.5,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1408593750,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1408789062.5,-23,-25,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1408984375,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1409179687.5,-23,-25,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1409375000,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1409570312.5,-26,-28,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1409765625,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1409960937.5,-23,-25,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1410156250,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1410351562.5,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1410546875,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1410742187.5,-26,-28,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1410937500,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1411132812.5,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1411328125,-26,-28,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1411523437.5,-24,-26,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1411718750,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1411914062.5,-24,-26,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1412109375,-24,-26,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1412304687.5,-26,-28,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1412500000,-26,-28,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1412695312.5,-26,-28,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1412890625,-24,-26,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1413085937.5,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1413281250,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1413476562.5,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1413671875,-24,-26,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1413867187.5,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1414062500,-24,-26,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1414257812.5,-24,-26,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1414453125,-24,-26,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1414648437.5,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1414843750,-24,-26,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1415039062.5,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1415234375,-24,-26,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1415429687.5,-24,-26,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1415625000,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1415820312.5,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1416015625,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1416210937.5,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1416406250,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1416601562.5,-26,-28,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1416796875,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1416992187.5,-26,-28,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1417187500,-26,-28,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1417382812.5,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1417578125,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1417773437.5,-26,-28,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1417968750,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1418164062.5,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1418359375,-26,-28,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1418554687.5,-26,-28,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1418750000,-27,-29,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1418945312.5,-26,-28,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1419140625,-26,-28,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1419335937.5,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1419531250,-26,-28,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1419726562.5,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1419921875,-26,-28,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1420117187.5,-26,-28,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1420312500,-26,-28,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1420507812.5,-26,-28,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1420703125,-26,-28,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1420898437.5,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1421093750,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1421289062.5,-26,-28,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1421484375,-25,-27,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1421679687.5,-27,-29,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1421875000,-28,-30,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1422070312.5,-27,-29,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1422265625,-26,-28,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1422460937.5,-26,-28,-21.4707419906268,-24,27
00:09:8b:02:5a:c4,00:09:8b:02:58:ba,1422656250,-26,-28,-21.4707419906268,-24,27
