NodeSource,NodeDestination,Frequency,SubCarrier Power dBm,SubCarrier Power dBm Offset,Meas Rx Power dBm,Calc Rx Power dBm,Relative Power,SubCarrier Power dBmV,SubCarrier Power dBmV Offset,Meas Rx Power dBmV,Calc Rx Power dBmV
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1150195312.5,-47,-54,-31,-23,23,1.750612633917001,-5.249387366082999,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1150390625,-47,-54,-31,-23,23,1.750612633917001,-5.249387366082999,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1150585937.5,-47,-54,-31,-23,23,1.750612633917001,-5.249387366082999,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1150781250,-47,-54,-31,-23,23,1.750612633917001,-5.249387366082999,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1150976562.5,-46,-53,-31,-23,23,2.750612633917001,-4.249387366082999,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1151171875,-45,-52,-31,-23,23,3.750612633917001,-3.249387366082999,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1151367187.5,-45,-52,-31,-23,23,3.750612633917001,-3.249387366082999,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1151562500,-45,-52,-31,-23,23,3.750612633917001,-3.249387366082999,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1151757812.5,-43,-50,-31,-23,23,5.750612633917001,-1.249387366082999,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1151953125,-42,-49,-31,-23,23,6.750612633917001,-0.24938736608299905,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1152148437.5,-43,-50,-31,-23,23,5.750612633917001,-1.249387366082999,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1152343750,-38,-45,-31,-23,23,10.750612633917001,3.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1152539062.5,-33,-40,-31,-23,23,15.750612633917001,8.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1152734375,-28,-35,-31,-23,23,20.750612633917,13.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1152929687.5,-27,-34,-31,-23,23,21.750612633917,14.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1153125000,-27,-34,-31,-23,23,21.750612633917,14.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1153320312.5,-28,-35,-31,-23,23,20.750612633917,13.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1153515625,-27,-34,-31,-23,23,21.750612633917,14.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1153710937.5,-27,-34,-31,-23,23,21.750612633917,14.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1153906250,-27,-34,-31,-23,23,21.750612633917,14.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1154101562.5,-26,-33,-31,-23,23,22.750612633917,15.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1154296875,-26,-33,-31,-23,23,22.750612633917,15.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1154492187.5,-28,-35,-31,-23,23,20.750612633917,13.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1154687500,-25,-32,-31,-23,23,23.750612633917,16.750612633917,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1154882812.5,-27,-34,-31,-23,23,21.750612633917,14.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1155078125,-27,-34,-31,-23,23,21.750612633917,14.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1155273437.5,-26,-33,-31,-23,23,22.750612633917,15.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1155468750,-26,-33,-31,-23,23,22.750612633917,15.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1155664062.5,-27,-34,-31,-23,23,21.750612633917,14.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1155859375,-28,-35,-31,-23,23,20.750612633917,13.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1156054687.5,-28,-35,-31,-23,23,20.750612633917,13.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1156250000,-26,-33,-31,-23,23,22.750612633917,15.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1156445312.5,-26,-33,-31,-23,23,22.750612633917,15.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1156640625,-26,-33,-31,-23,23,22.750612633917,15.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1156835937.5,-26,-33,-31,-23,23,22.750612633917,15.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1157031250,-26,-33,-31,-23,23,22.750612633917,15.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1157226562.5,-27,-34,-31,-23,23,21.750612633917,14.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1157421875,-26,-33,-31,-23,23,22.750612633917,15.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1157617187.5,-26,-33,-31,-23,23,22.750612633917,15.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1157812500,-25,-32,-31,-23,23,23.750612633917,16.750612633917,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1158007812.5,-25,-32,-31,-23,23,23.750612633917,16.750612633917,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1158203125,-26,-33,-31,-23,23,22.750612633917,15.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1158398437.5,-27,-34,-31,-23,23,21.750612633917,14.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1158593750,-26,-33,-31,-23,23,22.750612633917,15.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1158789062.5,-25,-32,-31,-23,23,23.750612633917,16.750612633917,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1158984375,-27,-34,-31,-23,23,21.750612633917,14.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1159179687.5,-25,-32,-31,-23,23,23.750612633917,16.750612633917,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1159375000,-26,-33,-31,-23,23,22.750612633917,15.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1159570312.5,-27,-34,-31,-23,23,21.750612633917,14.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1159765625,-26,-33,-31,-23,23,22.750612633917,15.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1159960937.5,-24,-31,-31,-23,23,24.750612633917,17.750612633917,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1160156250,-26,-33,-31,-23,23,22.750612633917,15.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1160351562.5,-27,-34,-31,-23,23,21.750612633917,14.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1160546875,-26,-33,-31,-23,23,22.750612633917,15.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1160742187.5,-27,-34,-31,-23,23,21.750612633917,14.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1160937500,-26,-33,-31,-23,23,22.750612633917,15.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1161132812.5,-27,-34,-31,-23,23,21.750612633917,14.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1161328125,-27,-34,-31,-23,23,21.750612633917,14.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1161523437.5,-25,-32,-31,-23,23,23.750612633917,16.750612633917,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1161718750,-26,-33,-31,-23,23,22.750612633917,15.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1161914062.5,-26,-33,-31,-23,23,22.750612633917,15.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1162109375,-25,-32,-31,-23,23,23.750612633917,16.750612633917,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1162304687.5,-27,-34,-31,-23,23,21.750612633917,14.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1162500000,-27,-34,-31,-23,23,21.750612633917,14.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1162695312.5,-28,-35,-31,-23,23,20.750612633917,13.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1162890625,-26,-33,-31,-23,23,22.750612633917,15.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1163085937.5,-27,-34,-31,-23,23,21.750612633917,14.750612633917001,17.750612633917,25.19531807062235
00:09:8b:02:5a:c0,00:09:8b:02:5a:c2,1163281250,-27,-34,-31,-23,23,21.750612633917,14.750612633917001,17.750612633917,25.19531807062235
