NodeSource,NodeDestination,Frequency,SubCarrier Power dBm,SubCarrier Power dBm Offset,Meas Rx Power dBm,Calc Rx Power dBm,Relative Power
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1150195312.5,-47,-55,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1150390625,-46,-54,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1150585937.5,-46,-54,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1150781250,-46,-54,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1150976562.5,-46,-54,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1151171875,-45,-53,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1151367187.5,-45,-53,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1151562500,-45,-53,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1151757812.5,-42,-50,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1151953125,-42,-50,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1152148437.5,-42,-50,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1152343750,-37,-45,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1152539062.5,-32,-40,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1152734375,-27,-35,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1152929687.5,-26,-34,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1153125000,-26,-34,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1153320312.5,-27,-35,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1153515625,-26,-34,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1153710937.5,-26,-34,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1153906250,-26,-34,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1154101562.5,-25,-33,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1154296875,-25,-33,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1154492187.5,-27,-35,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1154687500,-24,-32,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1154882812.5,-26,-34,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1155078125,-26,-34,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1155273437.5,-25,-33,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1155468750,-26,-34,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1155664062.5,-26,-34,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1155859375,-28,-36,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1156054687.5,-27,-35,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1156250000,-25,-33,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1156445312.5,-26,-34,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1156640625,-26,-34,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1156835937.5,-26,-34,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1157031250,-26,-34,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1157226562.5,-27,-35,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1157421875,-26,-34,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1157617187.5,-26,-34,-23.325853640199522,-32,22
00:09:8b:02:5a:c2,00:09:8b:02:5a:c0,1157812500,-25,-33,-23.325853640199522,-32,22
